Video ID,Title,Channel,Channel ID,Subscribers,Views,Likes,Comments,Thumbnail
TQFbK6914L0,Una FORMA SECRETA para EMPEZAR el DÍA | MEDITACIÓN GUIADA para la MAÑANA | 16 minutos | Luis Perla,Luis Perla,UCwHrFqaWqPRYL7fR-GOQnHg,232000,263956,18439,1774,https://i.ytimg.com/vi/TQFbK6914L0/default.jpg
SMcx43WAu5A,BENEFICIOS y TÉCNICAS de MEDITACIÓN para CREAR una VIDA en PAZ ✨ | Fer Broca,Fer Broca,UCCCrcjtix9OFCymwbMtdFZg,506000,204220,12402,475,https://i.ytimg.com/vi/SMcx43WAu5A/default.jpg
q6Ae0fiCS0I,Yoga Nidra para DESCANSO PROFUNDO en 20 minutos - Relajación completa del cuerpo (meditación guiada),Anabel Otero,UCJQoiWCKVc5EivU9h0p80oA,1080000,994330,20099,739,https://i.ytimg.com/vi/q6Ae0fiCS0I/default.jpg
iJNulpH3hlE,Meditar en la muerte para realizar la vida | Ramiro Calle,Televisión Consciente,UCmcYWorOlfYj3dG_Hi_SEWg,236000,28684,2034,26,https://i.ytimg.com/vi/iJNulpH3hlE/default.jpg
7e6wkOlzA8E,🧘‍♂🌚🧘‍♀ Meditación MINDFULNESS para DORMIR [🌔2024🌖] - Alcanza un SUEÑO PROFUNDO,Psicología en Serio con Guillermo Orozco,UCV3AJtO6IMQd1cPtOha2BGA,279000,1272408,13553,240,https://i.ytimg.com/vi/7e6wkOlzA8E/default.jpg
SoSZxxxlMnU,MEDITACIÓN SANADORA 🌼 35 minutos RELAJACIÓN profunda | Respiración consciente Gabriela Litschi,Gabriela Litschi,UCJ80RT5ob5mSJT8KRwqGW4g,399000,2202299,35376,1461,https://i.ytimg.com/vi/SoSZxxxlMnU/default.jpg
ve3mNXUQqoI,El poder de la determinación. #salud #determinación #meditación #dinero  #meditar #meditacionguiada,Miguel Camarena Salud,UCkU1UYWL9eRJBNdM1-u_nFA,178000,1210,82,2,https://i.ytimg.com/vi/ve3mNXUQqoI/default.jpg
ZKL6MKYRH8g,20 Minute Sleep Meditation,Great Meditation,UCN4vyryy6O4GlIXcXTIuZQQ,1240000,636627,3833,83,https://i.ytimg.com/vi/ZKL6MKYRH8g/default.jpg
BmBELkmnq8Q,Meditación guiada para dejar ir a la persona que amas/ suelta/ dejar ir/ amor/pareja ❤️/#meditacion,Toni abril,UCo2LwgA3joSHAvoeO7Dd1LQ,162000,270956,15451,693,https://i.ytimg.com/vi/BmBELkmnq8Q/default.jpg
JzrCVe3D02c,MEDITA FÁCILMENTE ASÍ.   #meditación #saludemocional #amorpropio,Miguel Camarena Salud,UCkU1UYWL9eRJBNdM1-u_nFA,178000,347,18,2,https://i.ytimg.com/vi/JzrCVe3D02c/default.jpg
IWuiSAGw5DU,NO MEDITES sin saber esto!!! #Meditación #Bienestar #SaludMental #Cerebro #Neurociencia,MindCurious,UC47_XhsT1L4NalMBbVsIBeg,1940,84550,7989,42,https://i.ytimg.com/vi/IWuiSAGw5DU/default.jpg
IdfdV6iKJm8,Meditación guiada para dormir | Yoga con Baruc,Yoga con Baruc,UCfYqPsgBD_xmxmcN5foRjhA,140000,4767,157,10,https://i.ytimg.com/vi/IdfdV6iKJm8/default.jpg
5pge0V2rq4M,MEDITACIÓN GUIADA PARA DORMIR Y CALMAR LA MENTE | RELAJACIÓN PARA EL INSOMNIO | CUENTO 💖 EASY ZEN,Easy Zen,UC2Z5BQhJWVgLX71_frN4oTA,1420000,948346,8588,197,https://i.ytimg.com/vi/5pge0V2rq4M/default.jpg
50fjA5igr48,Meditación para Aceptación | 15 min | Yoga con Baruc,Yoga con Baruc,UCfYqPsgBD_xmxmcN5foRjhA,140000,6384,378,29,https://i.ytimg.com/vi/50fjA5igr48/default.jpg
viouTA9wxSU,🐌Meditación GUIADA para DORMIR RÁPIDO y PROFUNDO SIN INSOMNIO NI ANSIEDAD RELAJACION PROFUNDA ZEN,Mindfulness Amitaba,UClJCaPI5Se3QIBluTFYjPeA,294000,251799,3276,143,https://i.ytimg.com/vi/viouTA9wxSU/default.jpg
